full_text,clean_text,tokens,stopword,remove_slang,stemming,stemming_sentence,translated_en,sentiment,polarity_score,label
#KaburAjaDulu versi #NgarepDulu https://t.co/rCXBapok4d,kaburajadulu versi ngarepdulu,"['kaburajadulu', 'versi', 'ngarepdulu']","['kaburajadulu', 'versi', 'ngarepdulu']","['kaburajadulu', 'versi', 'ngarepdulu']","['kaburajadulu', 'versi', 'ngarepdulu']",kaburajadulu versi ngarepdulu,kaburajadulu ngarepdulu version,netral,0.0,1
Udah Senin lagi Ada yang dari kemarin kepikiran #KaburAjaDulu ke Jepang? ️ Buat pejuang JLPT Juli yuk mulai gercep cari buku latihan biar pas ujian nggak cuma modal nebak! Persiapan matang = selangkah lebih dekat ke karier impian di Jepang!! Ganbatte! 🇯🇵 a thread~ https://t.co/LhzrZGYhbF,udah senin lagi ada yang dari kemarin kepikiran kaburajadulu ke jepang buat pejuang jlpt juli yuk mulai gercep cari buku latihan biar pas ujian nggak cuma modal nebak persiapan matang selangkah lebih dekat ke karier impian di jepang ganbatte a thread,"['udah', 'senin', 'lagi', 'ada', 'yang', 'dari', 'kemarin', 'kepikiran', 'kaburajadulu', 'ke', 'jepang', 'buat', 'pejuang', 'jlpt', 'juli', 'yuk', 'mulai', 'gercep', 'cari', 'buku', 'latihan', 'biar', 'pas', 'ujian', 'nggak', 'cuma', 'modal', 'nebak', 'persiapan', 'matang', 'selangkah', 'lebih', 'dekat', 'ke', 'karier', 'impian', 'di', 'jepang', 'ganbatte', 'a', 'thread']","['senin', 'kemarin', 'kepikiran', 'kaburajadulu', 'jepang', 'pejuang', 'jlpt', 'juli', 'gercep', 'cari', 'buku', 'latihan', 'ujian', 'nggak', 'modal', 'nebak', 'persiapan', 'matang', 'selangkah', 'karier', 'impian', 'jepang', 'ganbatte', 'thread']","['senin', 'kemarin', 'kepikiran', 'kaburajadulu', 'jepang', 'pejuang', 'jlpt', 'juli', 'gercep', 'cari', 'buku', 'latihan', 'ujian', 'modal', 'nebak', 'persiapan', 'matang', 'selangkah', 'karier', 'impian', 'jepang', 'ganbatte', 'thread']","['senin', 'kemarin', 'pikir', 'kaburajadulu', 'jepang', 'juang', 'jlpt', 'juli', 'gercep', 'cari', 'buku', 'latih', 'uji', 'modal', 'nebak', 'siap', 'matang', 'selang', 'karier', 'impi', 'jepang', 'ganbatte', 'thread']",senin kemarin pikir kaburajadulu jepang juang jlpt juli gercep cari buku latih uji modal nebak siap matang selang karier impi jepang ganbatte thread,last monday thought kaburajadulu japan japan jlpt juli gercep looking for the book training book for the capital test of nebak ready to mature the japanese impi career ganbatte thread,positif,0.075,2
Menyawang loker ngeneh nggarai pengen #KaburAjaDulu :v https://t.co/xlkMXlfFdu,menyawang loker ngeneh nggarai pengen kaburajadulu v,"['menyawang', 'loker', 'ngeneh', 'nggarai', 'pengen', 'kaburajadulu', 'v']","['menyawang', 'loker', 'ngeneh', 'nggarai', 'pengen', 'kaburajadulu']","['menyawang', 'loker', 'ngeneh', 'nggarai', 'kaburajadulu']","['nyawang', 'loker', 'ngeneh', 'nggarai', 'kaburajadulu']",nyawang loker ngeneh nggarai kaburajadulu,slaughter the raising sky raggya,netral,0.0,1
Kalau ada kesempatan kerja di luar negeri. ... #KaburAjaDulu #KaburAjaDulu https://t.co/Q4xmtuPEC0,kalau ada kesempatan kerja di luar negeri kaburajadulu kaburajadulu,"['kalau', 'ada', 'kesempatan', 'kerja', 'di', 'luar', 'negeri', 'kaburajadulu', 'kaburajadulu']","['kesempatan', 'negeri', 'kaburajadulu', 'kaburajadulu']","['kesempatan', 'negeri', 'kaburajadulu', 'kaburajadulu']","['sempat', 'negeri', 'kaburajadulu', 'kaburajadulu']",sempat negeri kaburajadulu kaburajadulu,had the country kaburajadulu kaburajadulu,netral,0.0,1
Kita adalah warga negara akhirat. Seluruh penjuru dunia hanyalah persinggahan saja. Kita akan kembali pulang ke kampung yg sama. Bertahan dan atau #KaburAjaDulu sama saja. Asalkan kita lakukan dengan penuh tanggung jawab. Saya melakukan kedua-duanya ,kita adalah warga negara akhirat seluruh penjuru dunia hanyalah persinggahan saja kita akan kembali pulang ke kampung yg sama bertahan dan atau kaburajadulu sama saja asalkan kita lakukan dengan penuh tanggung jawab saya melakukan keduaduanya,"['kita', 'adalah', 'warga', 'negara', 'akhirat', 'seluruh', 'penjuru', 'dunia', 'hanyalah', 'persinggahan', 'saja', 'kita', 'akan', 'kembali', 'pulang', 'ke', 'kampung', 'yg', 'sama', 'bertahan', 'dan', 'atau', 'kaburajadulu', 'sama', 'saja', 'asalkan', 'kita', 'lakukan', 'dengan', 'penuh', 'tanggung', 'jawab', 'saya', 'melakukan', 'keduaduanya']","['warga', 'negara', 'akhirat', 'penjuru', 'dunia', 'persinggahan', 'pulang', 'kampung', 'yg', 'bertahan', 'kaburajadulu', 'lakukan', 'penuh', 'tanggung', 'keduaduanya']","['warga', 'negara', 'akhirat', 'penjuru', 'dunia', 'persinggahan', 'pulang', 'kampung', 'bertahan', 'kaburajadulu', 'lakukan', 'penuh', 'tanggung', 'keduaduanya']","['warga', 'negara', 'akhirat', 'penjuru', 'dunia', 'singgah', 'pulang', 'kampung', 'tahan', 'kaburajadulu', 'laku', 'penuh', 'tanggung', 'keduaduanya']",warga negara akhirat penjuru dunia singgah pulang kampung tahan kaburajadulu laku penuh tanggung keduaduanya,countries hereafter world corner stop returning village holding __kaburjadulu__,netral,0.0,1
Uji coba #KaburAjaDulu sebelum kuliah postgraduate di 🇬🇧semester depan #kaburajadulu https://t.co/Ha1XONYk8l,uji coba kaburajadulu sebelum kuliah postgraduate di semester depan kaburajadulu,"['uji', 'coba', 'kaburajadulu', 'sebelum', 'kuliah', 'postgraduate', 'di', 'semester', 'depan', 'kaburajadulu']","['uji', 'kaburajadulu', 'kuliah', 'postgraduate', 'semester', 'kaburajadulu']","['uji', 'kaburajadulu', 'kuliah', 'postgraduate', 'semester', 'kaburajadulu']","['uji', 'kaburajadulu', 'kuliah', 'postgraduate', 'semester', 'kaburajadulu']",uji kaburajadulu kuliah postgraduate semester kaburajadulu,test kaburajadulu postgraduate lecture semester kaburajadulu,netral,0.0,1
Memang benar #KaburAjaDulu #Lokerseram semakin merajalela https://t.co/W7mK9zk5OD,memang benar kaburajadulu lokerseram semakin merajalela,"['memang', 'benar', 'kaburajadulu', 'lokerseram', 'semakin', 'merajalela']","['kaburajadulu', 'lokerseram', 'merajalela']","['kaburajadulu', 'lokerseram', 'merajalela']","['kaburajadulu', 'lokerseram', 'rajalela']",kaburajadulu lokerseram rajalela,__kaburajahuun__ lokerseram trackingela,netral,0.0,1
happy sekali liat di tiktok banyak yg up #KaburAjaDulu dan dapetin hidup yg jauh lebih baik semangat semuanya muda itu cuma 1x pastikan kita semua nanti tua bercerita bukan bekerja,happy sekali liat di tiktok banyak yg up kaburajadulu dan dapetin hidup yg jauh lebih baik semangat semuanya muda itu cuma x pastikan kita semua nanti tua bercerita bukan bekerja,"['happy', 'sekali', 'liat', 'di', 'tiktok', 'banyak', 'yg', 'up', 'kaburajadulu', 'dan', 'dapetin', 'hidup', 'yg', 'jauh', 'lebih', 'baik', 'semangat', 'semuanya', 'muda', 'itu', 'cuma', 'x', 'pastikan', 'kita', 'semua', 'nanti', 'tua', 'bercerita', 'bukan', 'bekerja']","['happy', 'liat', 'tiktok', 'yg', 'up', 'kaburajadulu', 'dapetin', 'hidup', 'yg', 'semangat', 'muda', 'pastikan', 'tua', 'bercerita']","['happy', 'tiktok', 'up', 'kaburajadulu', 'hidup', 'semangat', 'muda', 'pastikan', 'tua', 'bercerita']","['happy', 'tiktok', 'up', 'kaburajadulu', 'hidup', 'semangat', 'muda', 'pasti', 'tua', 'cerita']",happy tiktok up kaburajadulu hidup semangat muda pasti tua cerita,happy tiktok up kaburajadulu live young spirit must be old story,positif,0.2840909090909091,2
Temen2 yg sudah berhasil atau lagi struggle #KaburAjaDulu coba spill dong biaya hidup kalian di awal tiba sama yg skrg sama di negara mana. Idealnya brp biar hidup tetep hidup Yang dicover fully/partially sama kampus/kantor mundur dulu yah. Mau tau yg bener2 uang sendiriii,temen yg sudah berhasil atau lagi struggle kaburajadulu coba spill dong biaya hidup kalian di awal tiba sama yg skrg sama di negara mana idealnya brp biar hidup tetep hidup yang dicover fullypartially sama kampuskantor mundur dulu yah mau tau yg bener uang sendiriii,"['temen', 'yg', 'sudah', 'berhasil', 'atau', 'lagi', 'struggle', 'kaburajadulu', 'coba', 'spill', 'dong', 'biaya', 'hidup', 'kalian', 'di', 'awal', 'tiba', 'sama', 'yg', 'skrg', 'sama', 'di', 'negara', 'mana', 'idealnya', 'brp', 'biar', 'hidup', 'tetep', 'hidup', 'yang', 'dicover', 'fullypartially', 'sama', 'kampuskantor', 'mundur', 'dulu', 'yah', 'mau', 'tau', 'yg', 'bener', 'uang', 'sendiriii']","['temen', 'yg', 'berhasil', 'struggle', 'kaburajadulu', 'spill', 'biaya', 'hidup', 'yg', 'skrg', 'negara', 'idealnya', 'brp', 'hidup', 'tetep', 'hidup', 'dicover', 'fullypartially', 'kampuskantor', 'mundur', 'yah', 'yg', 'bener', 'uang', 'sendiriii']","['berhasil', 'struggle', 'kaburajadulu', 'spill', 'biaya', 'hidup', 'negara', 'idealnya', 'hidup', 'hidup', 'dicover', 'fullypartially', 'kampuskantor', 'mundur', 'uang', 'sendiriii']","['hasil', 'struggle', 'kaburajadulu', 'spill', 'biaya', 'hidup', 'negara', 'ideal', 'hidup', 'hidup', 'dicover', 'fullypartially', 'kampuskantor', 'mundur', 'uang', 'sendiriii']",hasil struggle kaburajadulu spill biaya hidup negara ideal hidup hidup dicover fullypartially kampuskantor mundur uang sendiriii,struggle results kaburajadulu spill the cost of living countries ideal life life is covered fullyparthially campus kantor backward money,positif,0.9,2
#KaburAjaDulu https://t.co/2PNCY2tt1u https://t.co/sTy2zyIeLg,kaburajadulu,['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],['kaburajadulu'],kaburajadulu,__kabujadulu__,netral,0.0,1
Satu dari sebagian banyak. #KaburAjaDulu #kerjadijerman #blauekarte https://t.co/UwbBkC51HC,satu dari sebagian banyak kaburajadulu kerjadijerman blauekarte,"['satu', 'dari', 'sebagian', 'banyak', 'kaburajadulu', 'kerjadijerman', 'blauekarte']","['kaburajadulu', 'kerjadijerman', 'blauekarte']","['kaburajadulu', 'kerjadijerman', 'blauekarte']","['kaburajadulu', 'kerjadijerman', 'blauekarte']",kaburajadulu kerjadijerman blauekarte,kaburajadulu working jerman blauekarte,netral,0.0,1
Ayo aku kita cari modal bwat ke German itu dan #KaburAjaDulu https://t.co/jWEyHtiEw2,ayo aku kita cari modal bwat ke german itu dan kaburajadulu,"['ayo', 'aku', 'kita', 'cari', 'modal', 'bwat', 'ke', 'german', 'itu', 'dan', 'kaburajadulu']","['ayo', 'cari', 'modal', 'bwat', 'german', 'kaburajadulu']","['ayo', 'cari', 'modal', 'bwat', 'german', 'kaburajadulu']","['ayo', 'cari', 'modal', 'bwat', 'german', 'kaburajadulu']",ayo cari modal bwat german kaburajadulu,let's find the capital of the german __kaburation___,netral,0.0,1
Negara ini makin carut marut kalau ada kesempatan pasti gue #KaburAjaDulu,negara ini makin carut marut kalau ada kesempatan pasti gue kaburajadulu,"['negara', 'ini', 'makin', 'carut', 'marut', 'kalau', 'ada', 'kesempatan', 'pasti', 'gue', 'kaburajadulu']","['negara', 'carut', 'marut', 'kesempatan', 'kaburajadulu']","['negara', 'carut', 'marut', 'kesempatan', 'kaburajadulu']","['negara', 'carut', 'marut', 'sempat', 'kaburajadulu']",negara carut marut sempat kaburajadulu,the state of the streture of the marut had kaburajadulu,netral,0.0,1
Manifesting one day ke prancis koar koar pake hashtag #KaburAjaDulu,manifesting one day ke prancis koar koar pake hashtag kaburajadulu,"['manifesting', 'one', 'day', 'ke', 'prancis', 'koar', 'koar', 'pake', 'hashtag', 'kaburajadulu']","['manifesting', 'one', 'day', 'prancis', 'koar', 'koar', 'pake', 'hashtag', 'kaburajadulu']","['manifesting', 'one', 'day', 'prancis', 'koar', 'koar', 'hashtag', 'kaburajadulu']","['manifesting', 'one', 'day', 'prancis', 'koar', 'koar', 'hashtag', 'kaburajadulu']",manifesting one day prancis koar koar hashtag kaburajadulu,manifesting one day french koar koar hashtag kaburajadulu,netral,0.0,1
Officially open to work :) Semoga next dapat #KaburAjaDulu ,officially open to work semoga next dapat kaburajadulu,"['officially', 'open', 'to', 'work', 'semoga', 'next', 'dapat', 'kaburajadulu']","['officially', 'open', 'to', 'work', 'semoga', 'next', 'kaburajadulu']","['officially', 'open', 'work', 'semoga', 'next', 'kaburajadulu']","['officially', 'open', 'work', 'moga', 'next', 'kaburajadulu']",officially open work moga next kaburajadulu,officially open work moga next kaburajadulu,netral,0.0,1
min kalo butuh admin tambahan aku siap #kaburajadulu,min kalo butuh admin tambahan aku siap kaburajadulu,"['min', 'kalo', 'butuh', 'admin', 'tambahan', 'aku', 'siap', 'kaburajadulu']","['min', 'butuh', 'admin', 'tambahan', 'kaburajadulu']","['min', 'butuh', 'admin', 'tambahan', 'kaburajadulu']","['min', 'butuh', 'admin', 'tambah', 'kaburajadulu']",min butuh admin tambah kaburajadulu,min need admin added kaburajadulu,netral,0.0,1
Kebijakan pemerintah kondisi sosial politik dan ekonomi yang tak menentu mendorong gerakan tagar #KaburAjaDulu di media sosial. Ada rasa frustrasi? Baca juga di sini https://t.co/NUOc6VWUet #AdadiKompas #Kompasid #HarianKompas #KaburAjaDulu #Luarnegeri https://t.co/Oju327p13e,kebijakan pemerintah kondisi sosial politik dan ekonomi yang tak menentu mendorong gerakan tagar kaburajadulu di media sosial ada rasa frustrasi baca juga di sini adadikompas kompasid hariankompas kaburajadulu luarnegeri,"['kebijakan', 'pemerintah', 'kondisi', 'sosial', 'politik', 'dan', 'ekonomi', 'yang', 'tak', 'menentu', 'mendorong', 'gerakan', 'tagar', 'kaburajadulu', 'di', 'media', 'sosial', 'ada', 'rasa', 'frustrasi', 'baca', 'juga', 'di', 'sini', 'adadikompas', 'kompasid', 'hariankompas', 'kaburajadulu', 'luarnegeri']","['kebijakan', 'pemerintah', 'kondisi', 'sosial', 'politik', 'ekonomi', 'menentu', 'mendorong', 'gerakan', 'tagar', 'kaburajadulu', 'media', 'sosial', 'frustrasi', 'baca', 'adadikompas', 'kompasid', 'hariankompas', 'kaburajadulu', 'luarnegeri']","['kebijakan', 'pemerintah', 'kondisi', 'sosial', 'politik', 'ekonomi', 'menentu', 'mendorong', 'gerakan', 'tagar', 'kaburajadulu', 'media', 'sosial', 'frustrasi', 'baca', 'adadikompas', 'kompasid', 'hariankompas', 'kaburajadulu', 'luarnegeri']","['bijak', 'perintah', 'kondisi', 'sosial', 'politik', 'ekonomi', 'tentu', 'dorong', 'gera', 'tagar', 'kaburajadulu', 'media', 'sosial', 'frustrasi', 'baca', 'adadikompas', 'kompasid', 'hariankompas', 'kaburajadulu', 'luarnegeri']",bijak perintah kondisi sosial politik ekonomi tentu dorong gera tagar kaburajadulu media sosial frustrasi baca adadikompas kompasid hariankompas kaburajadulu luarnegeri,wisely orders for economic socio -political conditions of course encourage the hashtags kaburajadulu social media frustration read compass compass kompasid harikompas kaburajadulu,positif,0.2333333333333333,2
Ada yang #KaburAjaDulu sebagai guru gak sih? Paling gampang emang ambil TESOL tapi mihil juga. Pengen ngambil PGDE kali ya tapi nunggu scholarship wkwk,ada yang kaburajadulu sebagai guru gak sih paling gampang emang ambil tesol tapi mihil juga pengen ngambil pgde kali ya tapi nunggu scholarship wkwk,"['ada', 'yang', 'kaburajadulu', 'sebagai', 'guru', 'gak', 'sih', 'paling', 'gampang', 'emang', 'ambil', 'tesol', 'tapi', 'mihil', 'juga', 'pengen', 'ngambil', 'pgde', 'kali', 'ya', 'tapi', 'nunggu', 'scholarship', 'wkwk']","['kaburajadulu', 'guru', 'gampang', 'ambil', 'tesol', 'mihil', 'pengen', 'ngambil', 'pgde', 'nunggu', 'scholarship']","['kaburajadulu', 'guru', 'gampang', 'ambil', 'tesol', 'mihil', 'ngambil', 'pgde', 'scholarship']","['kaburajadulu', 'guru', 'gampang', 'ambil', 'tesol', 'mihil', 'ngambil', 'pgde', 'scholarship']",kaburajadulu guru gampang ambil tesol mihil ngambil pgde scholarship,rank,negatif,-0.8,0
Lagi ramai #KaburAjaDulu di X. Banyak yang pengen kerja di luar negeri tapi apa aja yang perlu dipersiapkan? Simak thread ini! ,lagi ramai kaburajadulu di x banyak yang pengen kerja di luar negeri tapi apa aja yang perlu dipersiapkan simak thread ini,"['lagi', 'ramai', 'kaburajadulu', 'di', 'x', 'banyak', 'yang', 'pengen', 'kerja', 'di', 'luar', 'negeri', 'tapi', 'apa', 'aja', 'yang', 'perlu', 'dipersiapkan', 'simak', 'thread', 'ini']","['ramai', 'kaburajadulu', 'pengen', 'negeri', 'dipersiapkan', 'simak', 'thread']","['ramai', 'kaburajadulu', 'negeri', 'dipersiapkan', 'simak', 'thread']","['ramai', 'kaburajadulu', 'negeri', 'siap', 'simak', 'thread']",ramai kaburajadulu negeri siap simak thread,crowded kaburajadulu negeri ready to see thread,positif,0.2,2
Kakak kakak ada yang #KaburAjaDulu dengan background law kah heheheheh....,kakak kakak ada yang kaburajadulu dengan background law kah heheheheh,"['kakak', 'kakak', 'ada', 'yang', 'kaburajadulu', 'dengan', 'background', 'law', 'kah', 'heheheheh']","['kakak', 'kakak', 'kaburajadulu', 'background', 'law', 'kah', 'heheheheh']","['kakak', 'kakak', 'kaburajadulu', 'background', 'law', 'kah', 'heheheheh']","['kakak', 'kakak', 'kaburajadulu', 'background', 'law', 'kah', 'heheheheh']",kakak kakak kaburajadulu background law kah heheheheh,brother sister kaburajadulu background law kah heheheheh,netral,0.0,1
Ini trend #KaburAjaDulu lewat terus njir. Dikit-dikit jadi kabita,ini trend kaburajadulu lewat terus njir dikitdikit jadi kabita,"['ini', 'trend', 'kaburajadulu', 'lewat', 'terus', 'njir', 'dikitdikit', 'jadi', 'kabita']","['trend', 'kaburajadulu', 'njir', 'dikitdikit', 'kabita']","['trend', 'kaburajadulu', 'dikitdikit', 'kabita']","['trend', 'kaburajadulu', 'dikitdikit', 'kabita']",trend kaburajadulu dikitdikit kabita,trend kaburajadulu dikitdikit kabita,netral,0.0,1
Jujur ya hastag #KaburAjaDulu ini bikin iri soalnya sebagai anak tunggal aku nggak akan bisa ninggalin Mama. Mau setiap hari aku makan nasi sama kerupuk asalkan bisa sama Mama gak apa-apa karena beliau adalah rumahku,jujur ya hastag kaburajadulu ini bikin iri soalnya sebagai anak tunggal aku nggak akan bisa ninggalin mama mau setiap hari aku makan nasi sama kerupuk asalkan bisa sama mama gak apaapa karena beliau adalah rumahku,"['jujur', 'ya', 'hastag', 'kaburajadulu', 'ini', 'bikin', 'iri', 'soalnya', 'sebagai', 'anak', 'tunggal', 'aku', 'nggak', 'akan', 'bisa', 'ninggalin', 'mama', 'mau', 'setiap', 'hari', 'aku', 'makan', 'nasi', 'sama', 'kerupuk', 'asalkan', 'bisa', 'sama', 'mama', 'gak', 'apaapa', 'karena', 'beliau', 'adalah', 'rumahku']","['jujur', 'hastag', 'kaburajadulu', 'bikin', 'iri', 'anak', 'tunggal', 'nggak', 'ninggalin', 'mama', 'makan', 'nasi', 'kerupuk', 'mama', 'apaapa', 'beliau', 'rumahku']","['jujur', 'hastag', 'kaburajadulu', 'bikin', 'iri', 'anak', 'tunggal', 'mama', 'makan', 'nasi', 'kerupuk', 'mama', 'apaapa', 'beliau', 'rumahku']","['jujur', 'hastag', 'kaburajadulu', 'bikin', 'iri', 'anak', 'tunggal', 'mama', 'makan', 'nasi', 'kerupuk', 'mama', 'apaapa', 'beliau', 'rumah']",jujur hastag kaburajadulu bikin iri anak tunggal mama makan nasi kerupuk mama apaapa beliau rumah,honest hastag kaburajadulu makes envy singling children mama eat rice rice mama what is he home,positif,0.6,2
#KaburAjaDulu adalah bentuk muda-mudi semakin frustasi dengan sistem yang tidak adil tidak masuk akal &amp; semakin tidak menarik/worth it sehingga memilih migrasi ke luar negeri. 1/n,kaburajadulu adalah bentuk mudamudi semakin frustasi dengan sistem yang tidak adil tidak masuk akal amp semakin tidak menarikworth it sehingga memilih migrasi ke luar negeri n,"['kaburajadulu', 'adalah', 'bentuk', 'mudamudi', 'semakin', 'frustasi', 'dengan', 'sistem', 'yang', 'tidak', 'adil', 'tidak', 'masuk', 'akal', 'amp', 'semakin', 'tidak', 'menarikworth', 'it', 'sehingga', 'memilih', 'migrasi', 'ke', 'luar', 'negeri', 'n']","['kaburajadulu', 'bentuk', 'mudamudi', 'frustasi', 'sistem', 'adil', 'akal', 'menarikworth', 'it', 'memilih', 'migrasi', 'negeri']","['kaburajadulu', 'bentuk', 'mudamudi', 'frustasi', 'sistem', 'adil', 'akal', 'menarikworth', 'memilih', 'migrasi', 'negeri']","['kaburajadulu', 'bentuk', 'mudamudi', 'frustasi', 'sistem', 'adil', 'akal', 'menarikworth', 'pilih', 'migrasi', 'negeri']",kaburajadulu bentuk mudamudi frustasi sistem adil akal menarikworth pilih migrasi negeri,kaburajadulu form mudamudi frustration of the fair system of reason attracting a state migration,positif,0.7,2
Semakin tidak heran dengan tagar #KaburAjaDulu Jadi buruhnya kena efek (i.e. susah cari kerja) Jadi pengusahanya ya ini contohnya ,semakin tidak heran dengan tagar kaburajadulu jadi buruhnya kena efek ie susah cari kerja jadi pengusahanya ya ini contohnya,"['semakin', 'tidak', 'heran', 'dengan', 'tagar', 'kaburajadulu', 'jadi', 'buruhnya', 'kena', 'efek', 'ie', 'susah', 'cari', 'kerja', 'jadi', 'pengusahanya', 'ya', 'ini', 'contohnya']","['heran', 'tagar', 'kaburajadulu', 'buruhnya', 'efek', 'ie', 'susah', 'cari', 'pengusahanya', 'contohnya']","['heran', 'tagar', 'kaburajadulu', 'buruhnya', 'efek', 'ie', 'susah', 'cari', 'pengusahanya', 'contohnya']","['heran', 'tagar', 'kaburajadulu', 'buruh', 'efek', 'ie', 'susah', 'cari', 'usaha', 'contoh']",heran tagar kaburajadulu buruh efek ie susah cari usaha contoh,wonder the hashtag kaburajadulu ie securities workers are difficult to find a sample business,negatif,-0.5,0
Gw gak banyak temen indo tp mostly kerja di BPO juga and will definitely ask kalo ada hiring di tempat mereka. Jujur apply ke BPO salah satu cara gampang buat #KaburAjaDulu . Boleh cek2 ke website jobseeking kyk Glassdoors atau LinkedIn.,gw gak banyak temen indo tp mostly kerja di bpo juga and will definitely ask kalo ada hiring di tempat mereka jujur apply ke bpo salah satu cara gampang buat kaburajadulu boleh cek ke website jobseeking kyk glassdoors atau linkedin,"['gw', 'gak', 'banyak', 'temen', 'indo', 'tp', 'mostly', 'kerja', 'di', 'bpo', 'juga', 'and', 'will', 'definitely', 'ask', 'kalo', 'ada', 'hiring', 'di', 'tempat', 'mereka', 'jujur', 'apply', 'ke', 'bpo', 'salah', 'satu', 'cara', 'gampang', 'buat', 'kaburajadulu', 'boleh', 'cek', 'ke', 'website', 'jobseeking', 'kyk', 'glassdoors', 'atau', 'linkedin']","['temen', 'indo', 'tp', 'mostly', 'bpo', 'and', 'will', 'definitely', 'ask', 'hiring', 'jujur', 'apply', 'bpo', 'salah', 'gampang', 'kaburajadulu', 'cek', 'website', 'jobseeking', 'kyk', 'glassdoors', 'linkedin']","['mostly', 'bpo', 'and', 'will', 'definitely', 'ask', 'hiring', 'jujur', 'apply', 'bpo', 'salah', 'gampang', 'kaburajadulu', 'cek', 'website', 'jobseeking', 'glassdoors', 'linkedin']","['mostly', 'bpo', 'and', 'will', 'definitely', 'ask', 'hiring', 'jujur', 'apply', 'bpo', 'salah', 'gampang', 'kaburajadulu', 'cek', 'website', 'jobseeking', 'glassdoors', 'linkedin']",mostly bpo and will definitely ask hiring jujur apply bpo salah gampang kaburajadulu cek website jobseeking glassdoors linkedin,mostly bpo and will definitely ask hiring honest apply bpo easy salah kaburajadulu check the jobseeking glassdoors website,positif,0.3833333333333333,2
tiktok gue dipenuhi konten #KaburAjaDulu. jangan-jangan gue bakalan pindah kewarganegaraan????,tiktok gue dipenuhi konten kaburajadulu janganjangan gue bakalan pindah kewarganegaraan,"['tiktok', 'gue', 'dipenuhi', 'konten', 'kaburajadulu', 'janganjangan', 'gue', 'bakalan', 'pindah', 'kewarganegaraan']","['tiktok', 'dipenuhi', 'konten', 'kaburajadulu', 'janganjangan', 'pindah', 'kewarganegaraan']","['tiktok', 'dipenuhi', 'konten', 'kaburajadulu', 'janganjangan', 'pindah', 'kewarganegaraan']","['tiktok', 'penuh', 'konten', 'kaburajadulu', 'janganjangan', 'pindah', 'kewarganegaraan']",tiktok penuh konten kaburajadulu janganjangan pindah kewarganegaraan,tiktok is full of content kaburajadulu don't move to citizenship,positif,0.35,2
Alhamdulillah mengambil keputusan yang sangat tepat 1 5 tahun yang lalu untuk bermigrasi ke Aussie #KaburAjaDulu https://t.co/86WXIHerwd,alhamdulillah mengambil keputusan yang sangat tepat tahun yang lalu untuk bermigrasi ke aussie kaburajadulu,"['alhamdulillah', 'mengambil', 'keputusan', 'yang', 'sangat', 'tepat', 'tahun', 'yang', 'lalu', 'untuk', 'bermigrasi', 'ke', 'aussie', 'kaburajadulu']","['alhamdulillah', 'mengambil', 'keputusan', 'tahun', 'bermigrasi', 'aussie', 'kaburajadulu']","['alhamdulillah', 'mengambil', 'keputusan', 'tahun', 'bermigrasi', 'aussie', 'kaburajadulu']","['alhamdulillah', 'ambil', 'putus', 'tahun', 'migrasi', 'aussie', 'kaburajadulu']",alhamdulillah ambil putus tahun migrasi aussie kaburajadulu,"alhamdulillah, take a break in the year of aussie migration kaburajadulu",netral,0.0,1
1. Persepsi yg terbalik. Bukan karena orang beremigrasi ke LN jadinya suatu negara gagal/susah berkembang tapi sebaliknya. Orang beremigrasi justru karena negara udah gagal atau susah berkembang. Fenomena kaburajadulu bukan penyebab tapi gejala gagalnya berkembang suatu negara.,persepsi yg terbalik bukan karena orang beremigrasi ke ln jadinya suatu negara gagalsusah berkembang tapi sebaliknya orang beremigrasi justru karena negara udah gagal atau susah berkembang fenomena kaburajadulu bukan penyebab tapi gejala gagalnya berkembang suatu negara,"['persepsi', 'yg', 'terbalik', 'bukan', 'karena', 'orang', 'beremigrasi', 'ke', 'ln', 'jadinya', 'suatu', 'negara', 'gagalsusah', 'berkembang', 'tapi', 'sebaliknya', 'orang', 'beremigrasi', 'justru', 'karena', 'negara', 'udah', 'gagal', 'atau', 'susah', 'berkembang', 'fenomena', 'kaburajadulu', 'bukan', 'penyebab', 'tapi', 'gejala', 'gagalnya', 'berkembang', 'suatu', 'negara']","['persepsi', 'yg', 'terbalik', 'beremigrasi', 'ln', 'negara', 'gagalsusah', 'berkembang', 'beremigrasi', 'negara', 'gagal', 'susah', 'berkembang', 'fenomena', 'kaburajadulu', 'penyebab', 'gejala', 'gagalnya', 'berkembang', 'negara']","['persepsi', 'terbalik', 'beremigrasi', 'ln', 'negara', 'gagalsusah', 'berkembang', 'beremigrasi', 'negara', 'gagal', 'susah', 'berkembang', 'fenomena', 'kaburajadulu', 'penyebab', 'gejala', 'gagalnya', 'berkembang', 'negara']","['persepsi', 'balik', 'emigrasi', 'ln', 'negara', 'gagalsusah', 'kembang', 'emigrasi', 'negara', 'gagal', 'susah', 'kembang', 'fenomena', 'kaburajadulu', 'sebab', 'gejala', 'gagal', 'kembang', 'negara']",persepsi balik emigrasi ln negara gagalsusah kembang emigrasi negara gagal susah kembang fenomena kaburajadulu sebab gejala gagal kembang negara,perception back to the state emigration failed to develop the state emigration failed difficult to develop phenomena __kaburajadulu,negatif,-0.375,0
